archivo,numero,mes,anio,fuente_fecha
Reporte-Mensual-de-Conflictos-Sociales-N_-201-noviembre-2020.pdf,201,11,2020,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-202-diciembre-2020.pdf,202,12,2020,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-203-enero-2021.pdf,203,1,2021,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-204-febrero-2021.pdf,204,2,2021,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-205-marzo-2021.pdf,205,3,2021,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-206-abril-2021.pdf,206,4,2021,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-207-Mayo-2021.pdf,207,5,2021,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-208-junio-2021.pdf,208,6,2021,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-209-julio-2021.pdf,209,7,2021,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-210-agosto-2021.pdf,210,8,2021,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-211-setiembre-2021.pdf,211,9,2021,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-213-noviembre-2021.pdf,213,11,2021,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-215-Enero-2022-1.pdf,215,1,2022,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-216-Febrero-2022-VF.pdf,216,2,2022,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-217-Marzo-2022.pdf.pdf,217,3,2022,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-219-Mayo-2022.pdf,219,5,2022,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-220-Junio-2022.pdf,220,6,2022,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-222-Agosto-2022.pdf,222,8,2022,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-223-Setiembre-2022.pdf,223,9,2022,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-224-Octubre-2022.pdf,224,10,2022,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-225-Noviembre-2022.pdf,225,11,2022,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-227-Enero-2023.pdf,227,1,2023,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-228-Febrero-2023.pdf,228,2,2023,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-231-mayo-2023.pdf,231,5,2023,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-232-Junio-2023.pdf,232,6,2023,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-233-Julio-2023.pdf,233,7,2023,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-234-Agosto-2023.pdf,234,8,2023,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-235-Setiembre-2023.pdf,235,9,2023,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-236-Octubre-2023.pdf,236,10,2023,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-237-Noviembre-2023.pdf,237,11,2023,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-238-Diciembre-2023.pdf,238,12,2023,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-239-Enero-2024.pdf,239,1,2024,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-246-Agosto_2024-1.pdf,246,8,2024,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-248-Octubre_2024.pdf,248,10,2024,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-254-Abr_2025.pdf,254,4,2025,pdf
Reporte-Mensual-de-Conflictos-Sociales-N_-260-Oct_2025.pdf,260,10,2025,pdf
reporte-menusal-92.pdf,92,10,2011,pdf
reporte_85.pdf,85,3,2011,pdf
reporte_86.pdf,86,4,2011,pdf
reporte_91_1.pdf,91,9,2011,pdf
reporte_conflictos_59_enero2009.pdf,59,1,2009,pdf
Reporte_conflictos_90.pdf,90,8,2011,pdf
Reporte_Mensual_de_Conflictos_Sociales_N_173_-_Julio_2018.pdf,173,7,2018,pdf
Reporte_Mensual_de_Conflictos_Sociales_N_192_-_febrero_2020.pdf,192,2,2020,pdf
Reporte_Mensual_de_Conflictos_Sociales_N_193_-_marzo_2020.pdf,193,3,2020,pdf
Reporte_Mensual_de_Conflictos_Sociales_N_198_-_agosto_2020.pdf,198,8,2020,pdf
ReporteConflictos_marzo2024.pdf,241,3,2024,pdf
ReporteDeConflictos_abril24.pdf,242,4,2024,pdf
setiembre 2004 - Reporte 07 - Conflictos sociales.pdf,7,9,2004,nombre
setiembre 2005 - conflictos_sociales19.pdf,19,9,2005,nombre
