archivo,numero,mes,anio,formato,paginas,ancho,alto,chars_p1,imgs_p1,dibujos_p1,fuente_p1,escaneado
Reporte-de-Conflictos-Sociales-n-264-febrero-26.pdf,264,2,2026,infografia_ciclo_2024,104,595,842,1265,5,11,Franklin Gothic Book,0
Reporte-de-Conflictos-Sociales-n-265-VF.pdf,265,3,2026,infografia_ciclo_2024,99,595,842,1239,5,11,Franklin Gothic Book,0
Reporte-de-Conflictos-Sociales-n-266-VF.pdf,266,4,2026,infografia_ciclo_2024,102,595,842,1258,5,11,Franklin Gothic Book,0
Reporte-de-Conflictos-Sociales-n-267-VF.pdf,267,5,2026,infografia_ciclo_2024,102,595,842,1257,5,11,FranklinGothic-Book,0
Reporte-de-Conflictos-Sociales-n-268.pdf,268,6,2026,infografia_ciclo_2024,122,595,842,1268,5,11,FranklinGothic-Book,0
Reporte-de-Conflictos-Sociales-n-269.pdf,269,7,2026,infografia_ciclo_2024,117,595,842,1262,5,11,FranklinGothic-Book,0
Reporte-de-Conflictos-Sociales-N-96-Febrero-2012.pdf,96,2,2012,adjuntia_portada_estadistica,94,595,842,886,0,13,"Arial,Bold",0
Reporte-de-Conflictos-Sociales-N-97-Marzo-2012.pdf,97,3,2012,adjuntia_portada_estadistica,97,595,842,843,0,13,"Arial,Bold",0
Reporte-de-Conflictos-Sociales-n._-245-julio-2024.pdf,245,7,2024,infografia_ciclo_2024,156,595,842,1151,5,14,FranklinGothic-Book,0
Reporte-de-conflictos-sociales-n.o-255-_-mayo-2025.pdf,255,5,2025,infografia_ciclo_2024,108,595,842,1367,5,12,FranklinGothic-Book,0
Reporte-de-conflictos-sociales-n.o-256-_-junio-2025.pdf,256,6,2025,infografia_ciclo_2024,121,595,842,1355,5,12,FranklinGothic-Book,0
Reporte-de-conflictos-sociales-n.o-257-_-julio-2025.pdf,257,7,2025,infografia_ciclo_2024,126,595,842,1345,5,12,FranklinGothic-Book,0
Reporte-de-conflictos-sociales-n.o-258-_-agosto-2025.pdf,258,8,2025,infografia_ciclo_2024,113,595,842,1380,5,12,FranklinGothic-Book,0
Reporte-de-conflictos-sociales-n.o-262-_-diciembre-2025.pdf,262,12,2025,infografia_ciclo_2024,120,595,842,1285,5,10,FranklinGothic-Book,0
Reporte-de-Conflictos-Sociales-N_-259.pdf,259,9,2025,infografia_ciclo_2024,120,595,842,1293,5,10,FranklinGothic-Book,0
Reporte-de-Mensual-Conflictos-Sociales-N-100-Junio-2012.pdf,100,6,2012,adjuntia_portada_estadistica,95,595,842,868,0,13,"Arial,Bold",0
reporte-diciembre.pdf,70,12,2009,adjuntia_portada_estadistica,77,595,842,1846,0,26,FranklinGothic-Medium,0
